127.0.0.1 - - [26/Apr/2024:17:43:33 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:41 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:42 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:45 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:46 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:47 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:47 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:48 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:43:58 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:44:11 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Apr/2024:17:44:19 +0200] "GET /api/v1/drivers HTTP/1.1" 404 709
